day,hour,cost
1/1/2022,1,50.05
1/1/2022,2,41.33
1/1/2022,3,43.22
1/1/2022,4,45.46
1/1/2022,5,37.67
1/1/2022,6,39.7
1/1/2022,7,40.59
1/1/2022,8,43.26
1/1/2022,9,49.66
1/1/2022,10,70.05
1/1/2022,11,76.79
1/1/2022,12,84.1
1/1/2022,13,94.74
1/1/2022,14,96.8
1/1/2022,15,97.17
1/1/2022,16,101
1/1/2022,17,126.6
1/1/2022,18,149.97
1/1/2022,19,146.33
1/1/2022,20,140.28
1/1/2022,21,121.88
1/1/2022,22,102.61
1/1/2022,23,97.46
1/1/2022,24,85.16
2/1/2022,1,57.08
2/1/2022,2,52.59
2/1/2022,3,48.97
2/1/2022,4,34.94
2/1/2022,5,29.56
2/1/2022,6,33.97
2/1/2022,7,34.52
2/1/2022,8,41.8
2/1/2022,9,48.95
2/1/2022,10,60.01
2/1/2022,11,70.09
2/1/2022,12,66.26
2/1/2022,13,64.54
2/1/2022,14,46.96
2/1/2022,15,65.19
2/1/2022,16,81.09
2/1/2022,17,88.46
2/1/2022,18,95.4
2/1/2022,19,86.71
2/1/2022,20,71.72
2/1/2022,21,56.73
2/1/2022,22,46.16
2/1/2022,23,46.29
2/1/2022,24,32.93
3/1/2022,1,20.89
3/1/2022,2,9.7
3/1/2022,3,9.7
3/1/2022,4,7.07
3/1/2022,5,8.99
3/1/2022,6,15.34
3/1/2022,7,80
3/1/2022,8,102.48
3/1/2022,9,131.47
3/1/2022,10,135.53
3/1/2022,11,107.46
3/1/2022,12,110.08
3/1/2022,13,119.78
3/1/2022,14,117
3/1/2022,15,111.57
3/1/2022,16,111.39
3/1/2022,17,124.51
3/1/2022,18,148.49
3/1/2022,19,138
3/1/2022,20,117.64
3/1/2022,21,117.71
3/1/2022,22,95.95
3/1/2022,23,105.68
3/1/2022,24,95.26
4/1/2022,1,103.7
4/1/2022,2,108.27
4/1/2022,3,105.92
4/1/2022,4,103.41
4/1/2022,5,102.71
4/1/2022,6,114.23
4/1/2022,7,156.91
4/1/2022,8,182.64
4/1/2022,9,178.91
4/1/2022,10,190
4/1/2022,11,189.88
4/1/2022,12,182.42
4/1/2022,13,182.46
4/1/2022,14,179.59
4/1/2022,15,179
4/1/2022,16,180.93
4/1/2022,17,166.69
4/1/2022,18,189.88
4/1/2022,19,184.94
4/1/2022,20,178.99
4/1/2022,21,156.12
4/1/2022,22,140.92
4/1/2022,23,137.92
4/1/2022,24,97.56
5/1/2022,1,105.31
5/1/2022,2,97.29
5/1/2022,3,84.5
5/1/2022,4,75.38
5/1/2022,5,79.11
5/1/2022,6,94.79
5/1/2022,7,118.04
5/1/2022,8,124.69
5/1/2022,9,147.74
5/1/2022,10,147.18
5/1/2022,11,138.56
5/1/2022,12,129.99
5/1/2022,13,131.97
5/1/2022,14,130.67
5/1/2022,15,134.6
5/1/2022,16,146.61
5/1/2022,17,161.18
5/1/2022,18,170
5/1/2022,19,139.88
5/1/2022,20,135.75
5/1/2022,21,119.93
5/1/2022,22,98.09
5/1/2022,23,118.71
5/1/2022,24,99.68
6/1/2022,1,99.85
6/1/2022,2,101.32
6/1/2022,3,110.01
6/1/2022,4,111.55
6/1/2022,5,123.37
6/1/2022,6,149.94
6/1/2022,7,185.92
6/1/2022,8,228.25
6/1/2022,9,228.92
6/1/2022,10,212.9
6/1/2022,11,215.5
6/1/2022,12,231.9
6/1/2022,13,226
6/1/2022,14,209.2
6/1/2022,15,216.06
6/1/2022,16,230.77
6/1/2022,17,245.95
6/1/2022,18,274.11
6/1/2022,19,273.44
6/1/2022,20,245.48
6/1/2022,21,226.14
6/1/2022,22,208.31
6/1/2022,23,178.75
6/1/2022,24,124.7
7/1/2022,1,128.92
7/1/2022,2,118.4
7/1/2022,3,103.01
7/1/2022,4,101.91
7/1/2022,5,101.98
7/1/2022,6,114.99
7/1/2022,7,140.19
7/1/2022,8,170.53
7/1/2022,9,175.66
7/1/2022,10,161.85
7/1/2022,11,161.37
7/1/2022,12,166.06
7/1/2022,13,166.54
7/1/2022,14,166.04
7/1/2022,15,169.43
7/1/2022,16,189.7
7/1/2022,17,201.97
7/1/2022,18,243.11
7/1/2022,19,253.81
7/1/2022,20,237.05
7/1/2022,21,224.33
7/1/2022,22,213.81
7/1/2022,23,185.94
7/1/2022,24,148.32
8/1/2022,1,164.17
8/1/2022,2,152.83
8/1/2022,3,166
8/1/2022,4,160.86
8/1/2022,5,160
8/1/2022,6,154.3
8/1/2022,7,166
8/1/2022,8,182.91
8/1/2022,9,215.89
8/1/2022,10,231
8/1/2022,11,228.95
8/1/2022,12,215.39
8/1/2022,13,206.68
8/1/2022,14,185
8/1/2022,15,169.52
8/1/2022,16,162.8
8/1/2022,17,200.89
8/1/2022,18,189.9
8/1/2022,19,177.11
8/1/2022,20,140.23
8/1/2022,21,162.02
8/1/2022,22,102.18
8/1/2022,23,102.29
8/1/2022,24,114.11
9/1/2022,1,85.03
9/1/2022,2,84.4
9/1/2022,3,80.24
9/1/2022,4,55.46
9/1/2022,5,49.29
9/1/2022,6,62.06
9/1/2022,7,74.29
9/1/2022,8,84.44
9/1/2022,9,97.26
9/1/2022,10,119.97
9/1/2022,11,134.96
9/1/2022,12,149.4
9/1/2022,13,165.13
9/1/2022,14,165.06
9/1/2022,15,170.09
9/1/2022,16,189.04
9/1/2022,17,190.96
9/1/2022,18,223.3
9/1/2022,19,243.94
9/1/2022,20,240
9/1/2022,21,230.82
9/1/2022,22,214.02
9/1/2022,23,215.88
9/1/2022,24,203.8
10/1/2022,1,196.23
10/1/2022,2,191.85
10/1/2022,3,195.91
10/1/2022,4,186.66
10/1/2022,5,178.04
10/1/2022,6,191.65
10/1/2022,7,237.44
10/1/2022,8,299.95
10/1/2022,9,313.92
10/1/2022,10,315
10/1/2022,11,310.41
10/1/2022,12,310.08
10/1/2022,13,300
10/1/2022,14,297.01
10/1/2022,15,299.96
10/1/2022,16,306.45
10/1/2022,17,302.73
10/1/2022,18,315.47
10/1/2022,19,310.82
10/1/2022,20,294.98
10/1/2022,21,267.45
10/1/2022,22,242.23
10/1/2022,23,217.03
10/1/2022,24,195.83
11/1/2022,1,207.01
11/1/2022,2,202.42
11/1/2022,3,197.6
11/1/2022,4,193
11/1/2022,5,194.9
11/1/2022,6,204.45
11/1/2022,7,237.13
11/1/2022,8,293.52
11/1/2022,9,300.02
11/1/2022,10,297.16
11/1/2022,11,275.67
11/1/2022,12,264.4
11/1/2022,13,252.59
11/1/2022,14,248.38
11/1/2022,15,255.01
11/1/2022,16,277.9
11/1/2022,17,289.94
11/1/2022,18,316.4
11/1/2022,19,315.9
11/1/2022,20,309.2
11/1/2022,21,285.33
11/1/2022,22,245.3
11/1/2022,23,236.61
11/1/2022,24,204.57
12/1/2022,1,194.79
12/1/2022,2,183.98
12/1/2022,3,183.06
12/1/2022,4,177.35
12/1/2022,5,178.33
12/1/2022,6,193.5
12/1/2022,7,240.56
12/1/2022,8,273.18
12/1/2022,9,300.1
12/1/2022,10,292.74
12/1/2022,11,275.5
12/1/2022,12,258.65
12/1/2022,13,245.11
12/1/2022,14,232.08
12/1/2022,15,234.77
12/1/2022,16,240.01
12/1/2022,17,255
12/1/2022,18,284.82
12/1/2022,19,285.97
12/1/2022,20,269.03
12/1/2022,21,235.25
12/1/2022,22,191.5
12/1/2022,23,193.69
12/1/2022,24,172.18
13/1/2022,1,142.35
13/1/2022,2,161.69
13/1/2022,3,153.58
13/1/2022,4,147.07
13/1/2022,5,152.47
13/1/2022,6,171.26
13/1/2022,7,192.03
13/1/2022,8,215.24
13/1/2022,9,235.9
13/1/2022,10,219.99
13/1/2022,11,180.08
13/1/2022,12,170.16
13/1/2022,13,152.53
13/1/2022,14,134.13
13/1/2022,15,171.01
13/1/2022,16,201.59
13/1/2022,17,205.38
13/1/2022,18,220.3
13/1/2022,19,212.76
13/1/2022,20,210
13/1/2022,21,192.69
13/1/2022,22,164.46
13/1/2022,23,164.2
13/1/2022,24,122.09
14/1/2022,1,120.04
14/1/2022,2,110.03
14/1/2022,3,108.24
14/1/2022,4,107.46
14/1/2022,5,109.82
14/1/2022,6,140.52
14/1/2022,7,176.04
14/1/2022,8,190.97
14/1/2022,9,216.99
14/1/2022,10,196.91
14/1/2022,11,162.92
14/1/2022,12,160.04
14/1/2022,13,154.01
14/1/2022,14,152.29
14/1/2022,15,186.94
14/1/2022,16,217.18
14/1/2022,17,224.91
14/1/2022,18,262
14/1/2022,19,260.04
14/1/2022,20,234.32
14/1/2022,21,215.04
14/1/2022,22,204.39
14/1/2022,23,194.29
14/1/2022,24,184.9
15/1/2022,1,168.43
15/1/2022,2,170.62
15/1/2022,3,186.01
15/1/2022,4,182.64
15/1/2022,5,187.83
15/1/2022,6,190.58
15/1/2022,7,190.27
15/1/2022,8,204.46
15/1/2022,9,212.84
15/1/2022,10,230
15/1/2022,11,222.39
15/1/2022,12,214.92
15/1/2022,13,208.43
15/1/2022,14,200
15/1/2022,15,203.09
15/1/2022,16,213.98
15/1/2022,17,226.32
15/1/2022,18,260
15/1/2022,19,267.03
15/1/2022,20,261.41
15/1/2022,21,243.62
15/1/2022,22,220.1
15/1/2022,23,212.85
15/1/2022,24,209.41
16/1/2022,1,225.92
16/1/2022,2,216
16/1/2022,3,189.49
16/1/2022,4,181.98
16/1/2022,5,174.98
16/1/2022,6,165.91
16/1/2022,7,118.71
16/1/2022,8,119.45
16/1/2022,9,125.86
16/1/2022,10,129.46
16/1/2022,11,125.99
16/1/2022,12,131.83
16/1/2022,13,140.03
16/1/2022,14,122.49
16/1/2022,15,102.67
16/1/2022,16,121.95
16/1/2022,17,115
16/1/2022,18,125.42
16/1/2022,19,112.4
16/1/2022,20,97.49
